🧩 Total Problems: 3586,,,⭐ Star me on GitHub,,,,,,,,,,Choose the Programming Language for the Prompt,Python
941,Valid Mountain Array,3044,194,94.0%,Array,Easy,499102,1454077,34.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '941. Valid Mountain Array'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
976,Largest Perimeter Triangle,3042,418,87.9%,"Array, Math, Greedy, Sorting",Easy,275592,480456,57.40%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '976. Largest Perimeter Triangle'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1552,Magnetic Force Between Two Balls,3039,265,92.0%,"Array, Binary Search, Sorting",Medium,191303,268170,71.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1552. Magnetic Force Between Two Balls'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
386,Lexicographical Numbers,3035,210,93.5%,"Depth-First Search, Trie",Medium,359946,473780,76.00%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '386. Lexicographical Numbers'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
648,Replace Words,3035,219,93.3%,"Array, Hash Table, String, Trie",Medium,298924,437244,68.40%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '648. Replace Words'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
412,Fizz Buzz,3030,426,87.7%,"Math, String, Simulation",Easy,1519027,2042737,74.40%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '412. Fizz Buzz'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1769,Minimum Number of Operations to Move All Balls to Each Box,3022,132,95.8%,"Array, String, Prefix Sum",Medium,304887,338242,90.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1769. Minimum Number of Operations to Move All Balls to Each Box'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2542,Maximum Subsequence Score,2999,199,93.8%,"Array, Greedy, Sorting, Heap (Priority Queue)",Medium,129001,237753,54.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2542. Maximum Subsequence Score'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1626,Best Team With No Conflicts,2998,95,96.9%,"Array, Dynamic Programming, Sorting",Medium,91799,182065,50.40%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1626. Best Team With No Conflicts'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
857,Minimum Cost to Hire K Workers,2992,402,88.2%,"Array, Greedy, Sorting, Heap (Priority Queue)",Hard,150508,237210,63.40%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '857. Minimum Cost to Hire K Workers'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2024,Maximize the Confusion of an Exam,2981,50,98.4%,"String, Binary Search, Sliding Window, Prefix Sum",Medium,126380,184241,68.60%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2024. Maximize the Confusion of an Exam'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1367,Linked List in Binary Tree,2964,88,97.1%,"Linked List, Tree, Depth-First Search, Binary Tree",Medium,199214,383849,51.90%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1367. Linked List in Binary Tree'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2385,Amount of Time for Binary Tree to Be Infected,2963,69,97.7%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,168982,265224,63.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2385. Amount of Time for Binary Tree to Be Infected'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2187,Minimum Time to Complete Trips,2950,190,93.9%,"Array, Binary Search",Medium,134602,344792,39.00%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2187. Minimum Time to Complete Trips'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
277,Find the Celebrity,2948,312,90.4%,"Two Pointers, Graph, Interactive",Medium,303888,627460,48.40%,No,Yes,Yes,Algorithms,"Please solve the LeetCode problem '277. Find the Celebrity'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
845,Longest Mountain in Array,2926,86,97.1%,"Array, Two Pointers, Dynamic Programming, Enumeration",Medium,161646,393557,41.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '845. Longest Mountain in Array'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2131,Longest Palindrome by Concatenating Two Letter Words,2904,75,97.5%,"Array, Hash Table, String, Greedy, Counting",Medium,227899,424359,53.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2131. Longest Palindrome by Concatenating Two Letter Words'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1291,Sequential Digits,2895,177,94.2%,Enumeration,Medium,228677,350413,65.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1291. Sequential Digits'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
801,Minimum Swaps To Make Sequences Increasing,2890,138,95.4%,"Array, Dynamic Programming",Hard,89834,220494,40.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '801. Minimum Swaps To Make Sequences Increasing'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2140,Solving Questions With Brainpower,2890,85,97.1%,"Array, Dynamic Programming",Medium,240278,398348,60.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2140. Solving Questions With Brainpower'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1190,Reverse Substrings Between Each Pair of Parentheses,2886,127,95.8%,"String, Stack",Medium,232587,324262,71.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1190. Reverse Substrings Between Each Pair of Parentheses'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
340,Longest Substring with At Most K Distinct Characters,2878,81,97.3%,"Hash Table, String, Sliding Window",Medium,378787,765303,49.50%,No,Yes,Yes,Algorithms,"Please solve the LeetCode problem '340. Longest Substring with At Most K Distinct Characters'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1832,Check if the Sentence Is Pangram,2877,61,97.9%,"Hash Table, String",Easy,445640,531509,83.80%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1832. Check if the Sentence Is Pangram'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1695,Maximum Erasure Value,2876,54,98.2%,"Array, Hash Table, Sliding Window",Medium,148812,250493,59.40%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1695. Maximum Erasure Value'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1323,Maximum 69 Number,2871,220,92.9%,"Math, Greedy",Easy,304242,372131,81.80%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1323. Maximum 69 Number'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1757,Recyclable and Low Fat Products,2869,124,95.9%,Database,Easy,1892343,2119935,89.30%,Yes,Yes,No,Database,"Please solve the LeetCode problem '1757. Recyclable and Low Fat Products'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
951,Flip Equivalent Binary Trees,2857,119,96.0%,"Tree, Depth-First Search, Binary Tree",Medium,256716,368433,69.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '951. Flip Equivalent Binary Trees'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1581,Customer Who Visited but Did Not Make Any Transactions,2856,393,87.9%,Database,Easy,862888,1279968,67.40%,Yes,Yes,No,Database,"Please solve the LeetCode problem '1581. Customer Who Visited but Did Not Make Any Transactions'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
707,Design Linked List,2853,1655,63.3%,"Linked List, Design",Medium,412968,1421015,29.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '707. Design Linked List'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
967,Numbers With Same Consecutive Differences,2853,200,93.4%,"Backtracking, Breadth-First Search",Medium,146414,249262,58.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '967. Numbers With Same Consecutive Differences'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
489,Robot Room Cleaner,2845,186,93.9%,"Backtracking, Interactive",Hard,192740,248638,77.50%,No,Yes,No,Algorithms,"Please solve the LeetCode problem '489. Robot Room Cleaner'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1528,Shuffle String,2840,535,84.1%,"Array, String",Easy,447938,526400,85.10%,Yes,No,No,Algorithms,"Please solve the LeetCode problem '1528. Shuffle String'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
559,Maximum Depth of N-ary Tree,2831,93,96.8%,"Tree, Depth-First Search, Breadth-First Search",Easy,323794,443988,72.90%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '559. Maximum Depth of N-ary Tree'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2616,Minimize the Maximum Difference of Pairs,2829,318,89.9%,"Array, Binary Search, Dynamic Programming, Greedy, Sorting",Medium,157043,308888,50.80%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2616. Minimize the Maximum Difference of Pairs'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1325,Delete Leaves With a Given Value,2823,56,98.1%,"Tree, Depth-First Search, Binary Tree",Medium,233807,302472,77.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1325. Delete Leaves With a Given Value'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1061,Lexicographically Smallest Equivalent String,2819,185,93.8%,"String, Union Find",Medium,170174,210034,81.00%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1061. Lexicographically Smallest Equivalent String'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2244,Minimum Rounds to Complete All Tasks,2816,83,97.1%,"Array, Hash Table, Greedy, Counting",Medium,162255,257765,62.90%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2244. Minimum Rounds to Complete All Tasks'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1221,Split a String in Balanced Strings,2814,953,74.7%,"String, Greedy, Counting",Easy,347931,400879,86.80%,Yes,No,No,Algorithms,"Please solve the LeetCode problem '1221. Split a String in Balanced Strings'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1373,Maximum Sum BST in Binary Tree,2808,193,93.6%,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree",Hard,100101,226000,44.30%,Yes,No,No,Algorithms,"Please solve the LeetCode problem '1373. Maximum Sum BST in Binary Tree'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
319,Bulb Switcher,2805,3197,46.7%,"Math, Brainteaser",Medium,259487,479863,54.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '319. Bulb Switcher'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
181,Employees Earning More Than Their Managers,2804,279,91.0%,Database,Easy,830939,1161671,71.50%,Yes,Yes,No,Database,"Please solve the LeetCode problem '181. Employees Earning More Than Their Managers'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
183,Customers Who Never Order,2802,144,95.1%,Database,Easy,1019844,1443217,70.70%,Yes,Yes,No,Database,"Please solve the LeetCode problem '183. Customers Who Never Order'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1315,Sum of Nodes with Even-Valued Grandparent,2801,76,97.4%,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,171893,200542,85.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1315. Sum of Nodes with Even-Valued Grandparent'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1523,Count Odd Numbers in an Interval Range,2796,161,94.6%,Math,Easy,378161,748132,50.50%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1523. Count Odd Numbers in an Interval Range'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
865,Smallest Subtree with all the Deepest Nodes,2792,382,88.0%,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",Medium,164613,227157,72.50%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '865. Smallest Subtree with all the Deepest Nodes'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1760,Minimum Limit of Balls in a Bag,2780,102,96.5%,"Array, Binary Search",Medium,142454,211650,67.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1760. Minimum Limit of Balls in a Bag'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1295,Find Numbers with Even Number of Digits,2777,139,95.2%,"Array, Math",Easy,936901,1179793,79.40%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1295. Find Numbers with Even Number of Digits'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1347,Minimum Number of Steps to Make Two Strings Anagram,2774,120,95.9%,"Hash Table, String, Counting",Medium,309982,377338,82.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1347. Minimum Number of Steps to Make Two Strings Anagram'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
991,Broken Calculator,2770,212,92.9%,"Math, Greedy",Medium,111362,201994,55.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '991. Broken Calculator'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
165,Compare Version Numbers,2768,2761,50.1%,"Two Pointers, String",Medium,548751,1296083,42.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '165. Compare Version Numbers'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2405,Optimal Partition of String,2768,110,96.2%,"Hash Table, String, Greedy",Medium,258718,330732,78.20%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2405. Optimal Partition of String'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
929,Unique Email Addresses,2757,356,88.6%,"Array, Hash Table, String",Easy,542221,802274,67.60%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '929. Unique Email Addresses'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
464,Can I Win,2753,418,86.8%,"Math, Dynamic Programming, Bit Manipulation, Memoization, Game Theory, Bitmask",Medium,110138,362575,30.40%,Yes,No,No,Algorithms,"Please solve the LeetCode problem '464. Can I Win'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
323,Number of Connected Components in an Undirected Graph,2752,108,96.2%,"Depth-First Search, Breadth-First Search, Union Find, Graph",Medium,485390,756122,64.20%,No,Yes,Yes,Algorithms,"Please solve the LeetCode problem '323. Number of Connected Components in an Undirected Graph'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
962,Maximum Width Ramp,2748,91,96.8%,"Array, Two Pointers, Stack, Monotonic Stack",Medium,192888,346194,55.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '962. Maximum Width Ramp'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1299,Replace Elements with Greatest Element on Right Side,2739,253,91.5%,Array,Easy,471378,659258,71.50%,Yes,No,No,Algorithms,"Please solve the LeetCode problem '1299. Replace Elements with Greatest Element on Right Side'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1475,Final Prices With a Special Discount in a Shop,2736,140,95.1%,"Array, Stack, Monotonic Stack",Easy,321009,385356,83.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1475. Final Prices With a Special Discount in a Shop'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
945,Minimum Increment to Make Array Unique,2731,83,97.1%,"Array, Greedy, Sorting, Counting",Medium,256764,425573,60.30%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '945. Minimum Increment to Make Array Unique'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
629,K Inverse Pairs Array,2729,329,89.2%,Dynamic Programming,Hard,135506,276279,49.00%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '629. K Inverse Pairs Array'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
1089,Duplicate Zeros,2716,772,77.9%,"Array, Two Pointers",Easy,496097,939842,52.80%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '1089. Duplicate Zeros'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2300,Successful Pairs of Spells and Potions,2715,85,97.0%,"Array, Two Pointers, Binary Search, Sorting",Medium,229710,504996,45.50%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '2300. Successful Pairs of Spells and Potions'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
453,Minimum Moves to Equal Array Elements,2714,1906,58.7%,"Array, Math",Medium,196790,341045,57.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '453. Minimum Moves to Equal Array Elements'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
590,N-ary Tree Postorder Traversal,2713,119,95.8%,"Stack, Tree, Depth-First Search",Easy,401809,498025,80.70%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '590. N-ary Tree Postorder Traversal'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
